final_box_l,MPC,Kcideal_in_mol_per_l,cs_bulk,bjerrum,pH,cH_bulk,cOH_bulk,cNa_bulk,cCl_bulk,ionic_strength_bulk,Nsteps,num_Hs,num_OHs,num_Nas,num_Cls,num_As,total_isotropic_pressures,squared_end_to_end_distances,squared_radii_of_gyration,bond_lengths,degree_of_dissociation,excess_chemical_potential_pair,excess_chemical_potential_Na,excess_chemical_potential_Cl,err_num_Hs,err_num_OHs,err_num_Nas,err_num_Cls,err_num_As,err_total_isotropic_pressures,err_squared_end_to_end_distances,err_squared_radii_of_gyration,err_bond_lengths,err_degree_of_dissociation,err_excess_chemical_potential_pair,std_error_excess_chemical_potential_Na,std_error_excess_chemical_potential_Cl,nr_chains,c_poly_[mol/l]
23.0940107676,50.0,0.1,0.00026954177,2.0,3.0,3.00437806541e-05,3.00438399939e-13,0.00026954177,0.000299585550354,0.000299585550654,14384.0,31.6436318131,0.0,284.256813126,0.0686874304783,315.831757508,0.0217720457096,180.165411376,27.2408286236,0.971672735152,0.394789696885,-0.63902975817,-0.238410522957,-0.487892570514,0.0811754890635,0.0,0.207704412653,0.00377735990539,0.205882274847,0.00033745825371,1.23114803665,0.10154682336,1.76309927343e-05,0.000257352843558,0.033514834294,0.0230560117458,0.0173828081029,16,0.0481943137205
40.858634435,50.0,0.1,0.00026954177,2.0,3.0,3.00437806541e-05,3.00438399939e-13,0.00026954177,0.000299585550354,0.000299585550654,20314.0,37.7812346165,0.0,338.91464015,2.29275376588,374.403121,0.00290604015937,279.586317623,38.283048314,0.972191175582,0.46800390125,-0.965581259945,-0.492674861066,-0.438248002505,0.0729738261672,0.0,0.160390331653,0.0184431017176,0.152166463114,5.11537799953e-05,1.15191861579,0.0879577400721,1.48772926183e-05,0.000190208078892,0.0354522659817,0.0259802040017,0.00968287244951,16,0.00870246628124
58.6232581023,50.0,0.1,0.00026954177,2.0,3.0,3.00437806541e-05,3.00438399939e-13,0.00026954177,0.000299585550354,0.000299585550654,29869.0,41.3758076936,0.0,370.901904985,17.1918376913,395.085874987,0.00108838317803,350.145522045,45.1705106998,0.972419496588,0.493857343734,-0.878506632187,-0.516722262857,-0.324530698946,0.0650451271564,0.0,0.147577555804,0.0417613302524,0.133276444627,1.41286537611e-05,0.913743015112,0.0685805068377,1.21594258629e-05,0.000166595555784,0.030645017922,0.0191034584823,0.00521379650164,16,0.00294634797686
76.3878817697,50.0,0.1,0.00026954177,2.0,3.0,3.00437806541e-05,3.00438399939e-13,0.00026954177,0.000299585550354,0.000299585550654,19897.0,47.2552646128,0.0,424.067949942,66.2853696537,405.037844901,0.00071402831128,390.532628627,48.9437762246,0.972535789107,0.506297306127,-0.81607090548,-0.516322019332,-0.266811050759,0.0848088012138,0.0,0.204914246366,0.109947947933,0.171705639526,7.96480727182e-06,1.22275948141,0.0931976473896,1.52567346883e-05,0.000214632049407,0.0442728489256,0.0388341411242,0.0080000873948,16,0.00133174320807
80.0,50.0,0.1,0.00026954177,2.0,3.0,3.00437806541e-05,3.00438399939e-13,0.00026954177,0.000299585550354,0.000299585550654,17972.0,49.0545292677,0.0,439.927108836,82.645225907,406.336412197,0.000679424820277,394.16197663,49.3077378851,0.972554261338,0.507920515246,-0.73985964337,-0.55632445386,-0.249265037632,0.094146515046,0.0,0.234766083379,0.129271039954,0.189647036297,7.22390722095e-06,1.25231138808,0.0960387493602,1.57925420795e-05,0.000237058795371,0.0350014009343,0.0300727681644,0.00473766068624,16,0.001159375
23.0940107676,50.0,0.1,0.00026954177,2.0,4.0,2.99417402589e-06,2.9941821983600003e-12,0.00026954177,0.000272535941032,0.000272535944026,16973.0,5.90932657751,0.0,532.005773876,0.0396512107465,537.875449243,0.0314104836052,207.841440311,31.0995743351,0.972735221671,0.672344311554,-0.809619649542,-0.261714465451,-0.61170027068,0.0324982486345,0.0,0.226618946676,0.00264752022557,0.225007750579,0.000311172730869,1.53804693784,0.12787712025,1.62903698821e-05,0.000281259688224,0.0567136748209,0.0407961983298,0.0240890789759,16,0.0481943137205
40.858634435,50.0,0.1,0.00026954177,2.0,4.0,2.99417402589e-06,2.9941821983600003e-12,0.00026954177,0.000272535941032,0.000272535944026,13694.0,6.44859062363,0.0,579.506572221,1.58025412589,584.374908719,0.00350828773189,328.401650534,44.6803927214,0.973552263685,0.730468635899,-1.2052946506,-0.768326763546,-0.539576472298,0.0374666807787,0.0,0.215157859445,0.0186798587084,0.211097391236,6.27021942332e-05,1.70680516649,0.120282975009,1.8252175317e-05,0.000263871739045,0.0632412636516,0.0570242214894,0.015834947741,16,0.00870246628124
58.6232581023,50.0,0.1,0.00026954177,2.0,4.0,2.99417402589e-06,2.9941821983600003e-12,0.00026954177,0.000272535941032,0.000272535944026,20933.0,6.70491568337,0.0,604.279224191,12.4655328907,598.518606984,0.00119944067443,415.396906169,53.0028775495,0.973865498239,0.74814825873,-1.01983108937,-0.78359058778,-0.371736969136,0.0313121280396,0.0,0.176354970241,0.0420602577248,0.168111043132,1.7387746816e-05,1.49557000372,0.106394618781,1.51031913648e-05,0.000210138803915,0.0386259166328,0.0568071106996,0.00745917830152,16,0.00294634797686
76.3878817697,50.0,0.1,0.00026954177,2.0,4.0,2.99417402589e-06,2.9941821983600003e-12,0.00026954177,0.000272535941032,0.000272535944026,14102.0,7.18515104241,0.0,649.694440505,51.1966387746,605.682952773,0.000717080034754,473.846828781,58.1510344474,0.97401120924,0.757103690966,-0.983321366069,-0.685970128624,-0.284436384501,0.0382002114863,0.0,0.263838969137,0.120993822376,0.218296762578,9.32566194017e-06,2.0625177668,0.135484504428,1.83110550923e-05,0.000272870953222,0.0622327103182,0.047465580264,0.00602203503743,16,0.00133174320807
80.0,50.0,0.1,0.00026954177,2.0,4.0,2.99417402589e-06,2.9941821983600003e-12,0.00026954177,0.000272535941032,0.000272535944026,19201.0,7.36268944326,0.0,663.172334774,64.2733711786,606.261653039,0.000673528646184,478.6223115,58.6044970123,0.974029624265,0.757827066299,-1.1100112038,-0.78676814161,-0.274621356639,0.0337015446087,0.0,0.243434571053,0.113381072659,0.200609430695,6.88258586706e-06,1.57711137827,0.11300838456,1.52309648147e-05,0.000250761788369,0.079318178918,0.065509731471,0.00588391056332,16,0.001159375
23.0940107676,50.0,0.1,0.00026954177,2.0,5.0,2.99315810592e-07,2.99316895519e-11,0.00026954177,0.000269841055879,0.000269841085811,14997.0,0.808294992332,0.0,730.109088484,0.0288724411549,730.888511036,0.0384659910908,227.223246726,34.2328010734,0.974117288941,0.913610638794,-0.674534145508,-0.123052842569,-0.657951924555,0.0128222823941,0.0,0.144912091924,0.00241007000227,0.144156331073,0.000331688038387,2.74407002672,0.228773765231,1.74165027981e-05,0.000180195413842,0.0696064725505,0.0428069395229,0.0266608265486,16,0.0481943137205
40.858634435,50.0,0.1,0.00026954177,2.0,5.0,2.99315810592e-07,2.99316895519e-11,0.00026954177,0.000269841055879,0.000269841085811,15473.0,0.835132165708,0.0,750.348801137,1.39636786661,749.787565437,0.00387872840574,359.368564248,48.8233457791,0.974949324252,0.937234456796,-1.3216758349,-0.756290291253,-0.562570145522,0.0129272340144,0.0,0.108268103784,0.0164043662614,0.105889689705,5.99909352358e-05,2.04455622763,0.150559644664,1.76434063741e-05,0.000132362112131,0.0640020691756,0.0552108460787,0.017709545146,16,0.00870246628124
58.6232581023,50.0,0.1,0.00026954177,2.0,5.0,2.99315810592e-07,2.99316895519e-11,0.00026954177,0.000269841055879,0.000269841085811,20870.0,0.855821753713,0.0,765.173502635,11.3715860086,754.65773838,0.00130211288049,459.613286581,58.2021732404,0.975221192248,0.943322172976,-1.35817263611,-0.830302751651,-0.406101481369,0.0111040118803,0.0,0.101716761741,0.0416182059677,0.090645330383,1.67459919797e-05,1.80727220026,0.12786999757,1.46548273097e-05,0.000113306662979,0.0968413507799,0.0577712020596,0.0068177488857,16,0.00294634797686
76.3878817697,50.0,0.1,0.00026954177,2.0,5.0,2.99315810592e-07,2.99316895519e-11,0.00026954177,0.000269841055879,0.000269841085811,13954.0,0.891500644976,0.0,803.592589938,47.566217572,756.917873011,0.000729367964018,521.68533322,63.6639076872,0.975391905358,0.946147341264,-1.15511027186,-0.810127633638,-0.301779622952,0.0135829461813,0.0,0.169438046715,0.109036992049,0.114455583052,9.42353025765e-06,2.02057968281,0.143314433349,1.8322179659e-05,0.000143069478815,0.0826485452999,0.055718852975,0.00574304977981,16,0.00133174320807
80.0,50.0,0.1,0.00026954177,2.0,5.0,2.99315810592e-07,2.99316895519e-11,0.00026954177,0.000269841055879,0.000269841085811,18816.0,0.907844387755,5.31462585034e-05,816.502285289,60.1388180272,757.271258503,0.000685412664307,527.612993415,64.2093277066,0.975407225419,0.946589073129,-1.21164852433,-0.859424814073,-0.306206966509,0.0121144610591,9.20354438281e-05,0.165161695171,0.114040186887,0.101664617206,7.00434157416e-06,1.90191614389,0.131845363529,1.54849474199e-05,0.000127080771507,0.171734949752,0.0605698680916,0.00584147468823,16,0.001159375
23.0940107676,50.0,0.1,0.00026954177,2.0,6.0,2.99305737986e-08,2.99306687848e-10,0.00026954177,0.000269571401267,0.000269571700574,14339.0,0.0888485947416,0.0,791.089267034,0.0264314108376,791.151684218,0.0404609157059,233.13574975,35.0679521478,0.974606760817,0.988939605272,-0.805287830874,-0.125131599836,-0.637858091822,0.00435162418938,0.0,0.0459379227923,0.00232472070805,0.0457735102561,0.000337052015984,2.34771858955,0.193387668309,1.77138180925e-05,5.72168878201e-05,0.0919792477173,0.0494392504994,0.029184777203,16,0.0481943137205
40.858634435,50.0,0.1,0.00026954177,2.0,6.0,2.99305737986e-08,2.99306687848e-10,0.00026954177,0.000269571401267,0.000269571700574,15147.0,0.0888624810193,0.0,795.229616426,1.36112761603,793.957351291,0.00392821556097,367.359417468,49.9309212445,0.975360293141,0.992446689113,-1.41235461486,-0.812249205652,-0.568249310427,0.00410774303793,0.0,0.0394003445236,0.016194680602,0.0351543530933,6.01524951478e-05,1.88759901557,0.146673845617,1.77733167252e-05,4.39429413667e-05,0.0736322157441,0.0367332378327,0.00961617934746,16,0.00870246628124
58.6232581023,50.0,0.1,0.00026954177,2.0,6.0,2.99305737986e-08,2.99306687848e-10,0.00026954177,0.000269571401267,0.000269571700574,15196.0,0.0879178731245,0.0,805.730981837,11.1638589102,794.6550408,0.00130437745198,462.710414189,58.9161039688,0.975622533871,0.993318801,-1.35877700617,-0.864405643466,-0.418496877232,0.00417518179472,0.0,0.0595757198651,0.0479967015616,0.033823400229,1.96150728468e-05,2.20127896393,0.160881156548,1.72781006793e-05,4.22792502863e-05,0.0667247187384,0.0559040764631,0.00813326321088,16,0.00294634797686
76.3878817697,50.0,0.1,0.00026954177,2.0,6.0,2.99305737986e-08,2.99306687848e-10,0.00026954177,0.000269571401267,0.000269571700574,11686.0,0.0972103371556,8.55724798905e-05,841.729163101,46.891408523,794.934879343,0.000741701253634,531.369729659,64.8959459686,0.975753286142,0.993668599179,-1.12214218506,-0.839434341273,-0.309218244126,0.00500621674572,0.000148166443098,0.137844480366,0.12979871569,0.037348011211,1.02920170793e-05,2.54944770101,0.170589966544,2.01364262468e-05,4.66850140137e-05,0.0812735657645,0.0768352762983,0.00698430745749,16,0.00133174320807
80.0,50.0,0.1,0.00026954177,2.0,6.0,2.99305737986e-08,2.99306687848e-10,0.00026954177,0.000269571401267,0.000269571700574,11619.0,0.0956192443412,8.60659264997e-05,854.171185128,59.2677510973,794.998967209,0.000681566562242,544.844846131,65.9527153787,0.975789512869,0.993748709011,-1.12001937372,-1.25927165117,-0.319768404562,0.00495984181834,0.000149020701465,0.151802795618,0.145321998547,0.0369314907327,8.81267248553e-06,2.296145419,0.161311334209,1.97525520897e-05,4.61643634158e-05,0.246923053385,0.251911213279,0.0191415604901,16,0.001159375
