time,charge
224.99999999994034,-0.6
225.99999999993943,-0.6
226.99999999993852,-0.6
227.99999999993761,-1.0
228.9999999999367,-0.8
229.9999999999358,-0.8
230.9999999999349,-0.4
231.99999999993398,-0.4
232.99999999993307,-0.6
233.99999999993216,-0.2
234.99999999993125,0.0
235.99999999993034,-0.2
236.99999999992943,-0.2
237.99999999992852,-0.4
238.9999999999276,-0.2
239.9999999999267,-0.4
240.9999999999258,-0.2
241.99999999992488,-0.4
242.99999999992397,-0.4
243.99999999992306,-0.4
244.99999999992215,-0.4
245.99999999992124,-0.4
246.99999999992033,-0.6
247.99999999991942,-0.6
248.99999999991851,-0.6
249.9999999999176,-0.6
250.9999999999167,-0.2
251.9999999999158,-0.6
252.99999999991488,-0.4
253.99999999991397,-0.4
254.99999999991306,-0.6
255.99999999991215,-0.6
256.99999999991127,-0.4
257.99999999991036,-0.2
258.99999999990945,-0.2
259.99999999990854,-0.4
260.99999999990763,-0.4
261.9999999999067,-0.4
262.9999999999058,-0.4
263.9999999999049,-0.2
264.999999999904,-0.4
265.9999999999031,-0.4
266.9999999999022,-0.4
267.99999999990126,-0.4
268.99999999990035,-0.4
269.99999999989944,-0.4
270.99999999989853,-0.4
271.9999999998976,-0.4
272.9999999998967,0.0
273.9999999998958,-0.2
274.9999999998949,-0.4
275.999999999894,-0.4
276.9999999998931,-0.6
277.99999999989217,-0.4
278.99999999989126,-0.6
279.99999999989035,-0.6
280.99999999988944,-0.2
281.99999999988853,-0.4
282.9999999998876,-0.4
283.9999999998867,-0.6
284.9999999998858,-0.6
285.9999999998849,-0.4
286.999999999884,-0.2
287.9999999998831,0.0
288.99999999988216,0.0
289.99999999988125,-0.4
290.99999999988034,-0.4
291.99999999987944,-0.6
292.9999999998785,-0.6
293.9999999998776,-0.6
294.9999999998767,-0.8
295.9999999998758,-0.8
296.9999999998749,-0.6
297.999999999874,-0.6
298.99999999987307,-0.6
299.99999999987216,-0.4
300.99999999987125,-0.6
301.99999999987034,-0.6
302.99999999986943,-0.2
303.9999999998685,-0.2
304.9999999998676,-0.2
305.9999999998667,-0.4
306.9999999998658,-0.4
307.9999999998649,-0.6
308.999999999864,-0.8
309.99999999986306,-1.0
310.99999999986215,-1.0
311.99999999986125,-0.6
312.99999999986034,-0.6
313.9999999998594,-0.6
314.9999999998585,-0.2
315.9999999998576,-0.4
316.9999999998567,-0.4
317.9999999998558,0.0
318.9999999998549,0.0
319.99999999985397,0.0
320.99999999985306,0.0
321.99999999985215,-0.2
322.99999999985124,-0.4
323.99999999985033,0.0
324.9999999998494,-0.2
325.9999999998485,-0.2
326.9999999998476,-0.2
327.9999999998467,-0.2
328.9999999998458,-0.4
329.9999999998449,-0.8
330.99999999984396,-0.8
331.99999999984306,-0.6
332.99999999984215,-0.4
333.99999999984124,-0.4
334.9999999998403,-0.4
335.9999999998394,-0.2
336.9999999998385,-0.2
337.9999999998376,-0.4
338.9999999998367,-0.2
339.9999999998358,-0.4
340.99999999983487,-0.6
341.99999999983396,-0.4
342.99999999983305,-0.4
343.99999999983214,-0.4
344.99999999983123,-0.4
345.9999999998303,-0.4
346.9999999998294,-0.2
347.9999999998285,-0.2
348.9999999998276,-0.2
349.9999999998267,-0.2
350.9999999998258,-0.4
351.99999999982487,-0.6
352.99999999982396,-0.6
353.99999999982305,-0.2
354.99999999982214,-0.4
355.9999999998212,-0.4
356.9999999998203,-0.4
357.9999999998194,-0.6
358.9999999998185,-0.4
359.9999999998176,-0.4
360.9999999998167,-0.6
361.99999999981577,-0.6
362.99999999981486,-0.4
363.99999999981395,-0.4
364.99999999981304,-0.4
365.99999999981213,-0.4
366.9999999998112,-0.2
367.9999999998103,-0.2
368.9999999998094,-0.6
369.9999999998085,-0.6
370.9999999998076,-0.6
371.9999999998067,-0.6
372.99999999980577,-0.4
373.99999999980486,-0.8
374.99999999980395,-1.0
375.99999999980304,-0.8
376.9999999998021,-0.6
377.9999999998012,-0.4
378.9999999998003,-0.6
379.9999999997994,-0.2
380.9999999997985,-0.4
381.9999999997976,-0.6
382.99999999979667,-0.4
383.99999999979576,-0.2
384.99999999979485,-0.2
385.99999999979394,-0.4
386.99999999979303,-0.6
387.9999999997921,-0.4
388.9999999997912,-0.4
389.9999999997903,-0.2
390.9999999997894,-0.4
391.9999999997885,-0.2
392.9999999997876,-0.2
393.99999999978667,-0.4
394.99999999978576,-0.4
395.99999999978485,-0.4
396.99999999978394,-0.4
397.99999999978303,-0.4
398.9999999997821,-0.6
399.9999999997812,-0.4
400.9999999997803,-0.4
401.9999999997794,-0.4
402.9999999997785,-0.8
403.9999999997776,-0.6
404.99999999977666,-0.8
405.99999999977575,-0.6
406.99999999977484,-0.6
407.99999999977393,-0.6
408.999999999773,-0.6
409.9999999997721,-0.8
410.9999999997712,-0.4
411.9999999997703,-0.4
412.9999999997694,-0.4
413.9999999997685,-0.4
414.99999999976757,-0.4
415.99999999976666,-0.4
416.99999999976575,-0.4
417.99999999976484,-0.6
418.99999999976393,-0.8
419.999999999763,-1.0
420.9999999997621,-0.8
421.9999999997612,-0.6
422.9999999997603,-0.8
423.9999999997594,-0.8
424.9999999997585,-1.0
425.99999999975756,-1.0
426.99999999975665,-0.8
427.99999999975574,-0.8
428.99999999975483,-0.8
429.9999999997539,-0.6
430.999999999753,-0.4
431.9999999997521,-0.6
432.9999999997512,-0.6
433.9999999997503,-0.4
434.9999999997494,-0.2
435.99999999974847,-0.4
436.99999999974756,-0.4
437.99999999974665,-0.4
438.99999999974574,-0.4
439.99999999974483,-0.8
440.9999999997439,-0.8
441.999999999743,-0.8
442.9999999997421,-0.8
443.9999999997412,-0.8
444.9999999997403,-0.6
445.9999999997394,-0.8
446.99999999973846,-0.8
447.99999999973755,-0.6
448.99999999973664,-0.6
449.99999999973573,-0.2
450.9999999997348,-0.6
451.9999999997339,-0.4
452.999999999733,-0.6
453.9999999997321,-0.2
454.9999999997312,-0.2
455.9999999997303,-0.2
456.99999999972937,-0.2
457.99999999972846,-0.6
458.99999999972755,-0.6
459.99999999972664,-0.2
460.99999999972573,-0.2
461.9999999997248,-0.6
462.9999999997239,-0.6
463.999999999723,-0.6
464.9999999997221,-0.4
465.9999999997212,-0.6
466.9999999997203,-0.8
467.99999999971936,-0.6
468.99999999971845,-0.2
469.99999999971755,-0.4
470.99999999971664,-0.4
471.9999999997157,-0.2
472.9999999997148,-0.4
473.9999999997139,-0.6
474.999999999713,-0.6
475.9999999997121,-0.6
476.9999999997112,-0.6
477.99999999971027,-0.4
478.99999999970936,-0.2
479.99999999970845,0.0
480.99999999970754,-0.4
481.99999999970663,-0.2
482.9999999997057,-0.6
483.9999999997048,-0.6
484.9999999997039,-0.4
485.999999999703,-0.4
486.9999999997021,-0.6
487.9999999997012,-0.6
488.99999999970026,-1.0
489.99999999969936,-1.0
490.99999999969845,-0.6
491.99999999969754,-0.8
492.9999999996966,-0.4
493.9999999996957,-0.2
494.9999999996948,-0.2
495.9999999996939,-0.4
496.999999999693,-0.4
497.9999999996921,-0.4
498.99999999969117,0.0
499.99999999969026,-0.2
500.99999999968935,-0.4
501.99999999968844,-0.4
502.99999999968753,-0.2
503.9999999996866,-0.2
504.9999999996857,0.0
505.9999999996848,-0.2
506.9999999996839,-0.2
507.999999999683,-0.2
508.9999999996821,-0.4
509.99999999968117,-0.2
510.99999999968026,-0.4
511.99999999967935,-0.6
512.9999999996785,-0.6
513.9999999996776,-0.8
514.9999999996767,-1.0
515.9999999996758,-0.8
516.9999999996749,-0.8
517.999999999674,-0.6
518.999999999673,-0.4
519.9999999996721,-0.8
520.9999999996712,-0.8
521.9999999996703,-0.6
522.9999999996694,-0.6
523.9999999996685,-0.6
524.9999999996676,-0.4
525.9999999996667,-0.8
526.9999999996658,-0.8
527.9999999996649,-0.4
528.9999999996639,-0.4
529.999999999663,-0.4
530.9999999996621,-0.4
531.9999999996612,-0.6
532.9999999996603,-0.6
533.9999999996594,-0.2
534.9999999996585,-0.4
535.9999999996576,-0.2
536.9999999996567,-0.4
537.9999999996558,-0.4
538.9999999996548,-0.4
539.9999999996539,-0.6
540.999999999653,-0.4
541.9999999996521,-0.4
542.9999999996512,-0.4
543.9999999996503,-0.6
544.9999999996494,-0.8
545.9999999996485,-0.4
546.9999999996476,-0.4
547.9999999996467,-0.4
548.9999999996458,-0.4
549.9999999996448,0.0
550.9999999996439,0.0
551.999999999643,-0.2
552.9999999996421,-0.2
553.9999999996412,0.0
554.9999999996403,0.0
555.9999999996394,-0.2
556.9999999996385,-0.2
557.9999999996376,-0.4
558.9999999996367,-0.4
559.9999999996357,-0.6
560.9999999996348,-0.6
561.9999999996339,-0.6
562.999999999633,-0.4
563.9999999996321,-0.6
564.9999999996312,-0.4
565.9999999996303,-0.6
566.9999999996294,-0.6
567.9999999996285,-0.4
568.9999999996276,-0.6
569.9999999996267,-0.6
570.9999999996257,-0.6
571.9999999996248,-0.6
572.9999999996239,-0.4
573.999999999623,-0.4
574.9999999996221,-0.6
575.9999999996212,-0.4
576.9999999996203,-0.2
577.9999999996194,0.0
578.9999999996185,0.0
579.9999999996176,-0.2
580.9999999996166,-0.4
581.9999999996157,-0.2
582.9999999996148,-0.2
583.9999999996139,-0.2
584.999999999613,-0.6
585.9999999996121,-0.6
586.9999999996112,-0.6
587.9999999996103,-0.8
588.9999999996094,-0.4
