Index,MPC,Kcideal_in_mol_per_l,pH,cs,max_L,fit_L,best_L,best_index,fit_a,fit_b,fit_c,alpha,alpha_err,RE,RE_err,Q_V,Q_RE,pH_sys,pOH_sys
19,40,0.0001,4.0,0.19999999964700002,31.678516450111736,9.80787457789005,9.585790930912001,6,-2.9206588075609976,0.3696030218446858,0.18372778305947896,0.210325873966,0.0006059339502439999,4.643964984310501,0.019023139146986504,36.683968437847774,0.34723128696448485,3.730446375554102,0.0
20,40,0.0001,5.0,0.009999999667000003,31.678516450111736,14.942959858943626,15.135459364603502,17,-1.7759013796288219,0.5270483802688453,0.18320825354175038,0.233409837766,0.00039746701528600004,6.762393932905501,0.0050909539630240004,144.404016303104,0.5056271432314063,4.1274562009537705,0.0
21,40,0.0001,5.0,0.019999999705000004,31.678516450111736,14.685933795407937,14.6309440524465,16,-1.788725427116159,0.4855417818291391,0.19853406198599233,0.278548919753,0.000491914586554,6.599996328705502,0.007644956777754,130.43961309680884,0.4934846035488667,4.29145764277695,0.0
22,40,0.0001,5.0,0.049999999818999996,31.678516450111736,13.585333215972952,13.621913428132501,14,-1.6405325354790314,0.33126433059423616,0.22960432911563594,0.343345071949,0.0007639944071819999,6.2722207392475005,0.0113159885128645,105.27052788471588,0.4689766797924298,4.468330497367548,0.0
23,40,0.0001,5.0,0.09999999963799999,31.678516450111736,12.60012339228674,12.6128828038185,12,-1.7730583887888407,0.30083143972363524,0.22968223658741888,0.397122476735,0.00191712237474,5.9135303921630005,0.017515216819156004,83.56713906394346,0.44215724612730267,4.569432299619386,0.0
24,40,0.0001,5.0,0.19999999964700002,31.678516450111736,11.900629192111195,12.108367491697,11,-1.413940610975786,0.19673463543857844,0.23741712848118424,0.45928398854099994,0.00199036811795,5.74529950159,0.018850272136966502,73.93485634744935,0.42957854907894033,4.686102427245937,0.0
25,40,0.0001,6.0,0.009999999667000003,31.678516450111736,17.558147244089113,17.658035925353,22,-1.4995407637363949,0.5039943164391323,0.23002271660870927,0.453646296296,0.00165712796152,7.8368309608115005,0.0054972291365415005,229.30822959173747,0.5859632683362531,5.0401100211642,0.0
26,40,0.0001,6.0,0.019999999705000004,31.678516450111736,16.908854981018663,17.1535206132315,21,-1.5294793752580427,0.4599466458614286,0.24164592681251734,0.518433907455,0.00158355720864,7.670903683308,0.0088278815906365,210.20946136264044,0.5735568134416308,5.228288090405357,0.0
27,40,0.0001,6.0,0.049999999818999996,31.678516450111736,15.55223085405873,15.639974676760502,17,-1.3741570933202047,0.3235980076388199,0.25966465139742845,0.611179588048,0.0022598464629299997,7.157940195745001,0.015915395507242,159.33111295143337,0.5352023097892445,5.401285970468574,0.0
28,40,0.0001,6.0,0.09999999963799999,31.678516450111736,14.273687549468287,14.126428740289501,15,-1.241576170546181,0.2349667843237287,0.26354261167695514,0.682391328422,0.0038017064499200003,6.652691145838499,0.039464999324610006,117.40581355114662,0.49742461800445925,5.494461038658938,0.0
29,40,0.0001,6.0,0.19999999964700002,31.678516450111736,13.342365910903172,13.1173981159755,13,-0.9452598673274281,0.14664887823898284,0.267265946889625,0.756168366434,0.00301092877411,6.2468789918985,0.017285347138997,94.00166631611529,0.4670818662924032,5.605940839194665,0.0
30,40,0.0001,7.0,0.009999999667000003,31.678516450111736,19.23357820219488,19.171581861824002,25,-1.5253743823995514,0.5882089159112894,0.2391036603068609,0.7180087071619999,0.00339170365354,8.491838760291001,0.006098609612946501,293.4717475027822,0.634938487131709,5.949466452039168,0.0
31,40,0.0001,7.0,0.019999999705000004,31.678516450111736,18.360563187838007,18.16255123751,23,-1.3032032207559627,0.4217625574045075,0.2665932993202151,0.798461648215,0.0039608503632,8.156184286988001,0.020474508294850504,249.5301401711784,0.6098414557944472,6.121374134037265,0.0
32,40,0.0001,7.0,0.049999999818999996,31.678516450111736,16.715773228343963,16.6490053010745,20,-1.3809119341671445,0.3808210254068186,0.25858246317199,0.8676654065989999,0.00638502257989,7.644165249767501,0.0179030926746695,192.20174569980017,0.5715575691060147,6.337613428275284,0.0
33,40,0.0001,7.0,0.09999999963799999,31.678516450111736,15.269536317769164,15.135459364603502,17,-0.8833112711695793,0.1761885014839061,0.2851357139451612,0.881045900973,0.0140366610494,7.122375822636501,0.027442546037888007,144.404016303104,0.5325431461034136,6.472489318235472,0.0
34,40,0.0001,7.0,0.19999999964700002,31.678516450111736,14.08830094503087,14.126428740289501,15,-0.9314757870545664,0.16607527543074443,0.26828862757857946,0.913119750175,0.0110073828102,6.679345738177001,0.029435134997999,117.40581355114662,0.49941759349684134,6.609768175280244,0.0
35,40,0.0001,8.0,0.009999999667000003,31.678516450111736,20.142908225718056,20.180612486138003,26,-1.3465868716125384,0.529460975749496,0.2612342245304207,0.922323763606,0.00624412717142,8.928981240076,0.0086798792286975,342.2910016073576,0.6676238209693688,6.907765668250768,0.0
36,40,0.0001,8.0,0.019999999705000004,31.678516450111736,18.95110544706545,19.171581861824002,25,-1.4546262720937386,0.5193389491492263,0.2553120768000564,0.951149871542,0.0049686061717799995,8.5620004129165,0.015030348196171503,293.4717475027822,0.6401845044938154,7.114183645689655,0.0
37,40,0.0001,8.0,0.049999999818999996,31.678516450111736,17.103683237316506,17.1535206132315,21,-1.1763447252938015,0.31354514715289256,0.2794283788328768,0.968106439322,0.00639515725519,7.865730894709,0.026599154608684006,210.20946136264044,0.5881241289961247,7.328260582102062,0.0
38,40,0.0001,8.0,0.09999999963799999,31.678516450111736,15.658006202538525,15.639974676760502,18,-1.0050341344699854,0.22152541304276263,0.27733150852335087,0.9783345320579999,0.00642403090769,7.2645437878335,0.0275117214420095,159.33111295143337,0.5431731068561872,7.468229581899742,0.0
39,40,0.0001,8.0,0.19999999964700002,31.678516450111736,14.427838216435918,14.6309440524465,16,-0.8086344517917383,0.1501468595842937,0.271856791703544,0.979996843096,0.00788671428557,6.813170736620001,0.020761488072266503,130.43961309680884,0.5094237469873122,7.6159424621046234,0.0
40,40,0.0001,9.0,0.009999999667000003,31.678516450111736,20.301453473452327,20.180612486138003,27,-1.3546704938860479,0.5396713706239202,0.26175111358942393,0.990630118256,0.000188835939301,8.931907230377,0.008368944991073,342.2910016073576,0.6678425985401072,7.878079770272695,0.0
41,40,0.0001,9.0,0.019999999705000004,31.678516450111736,19.09166874228466,19.171581861824002,25,-1.3271913284266008,0.45741960050905317,0.27076644265802324,0.994759243866,0.00016124757068399997,8.596925157426499,0.032367398929750504,293.4717475027822,0.6427958428704145,8.09621046242382,0.0
42,40,0.0001,9.0,0.049999999818999996,31.678516450111736,17.14277972946819,17.1535206132315,21,-1.241456035697912,0.3357089442191105,0.2770493847866654,0.9976335734289999,7.4150733673e-05,7.856040053553501,0.027015086022465502,210.20946136264044,0.5873995405770559,8.317326556187066,0.0
43,40,0.0001,9.0,0.09999999963799999,31.678516450111736,15.625273702100028,15.639974676760502,18,-1.1313228306078338,0.24938397419052877,0.27627924035377593,0.998661998397,4.23883549143e-05,7.321697404753501,0.0236097957046635,159.33111295143337,0.5474465077161969,8.461387537273934,0.0
44,40,0.0001,9.0,0.19999999964700002,31.678516450111736,14.514033969406448,14.6309440524465,15,-0.8263594041233012,0.15350483649737529,0.27449958443605155,0.999276857001,5.26176416685e-05,6.870712845021,0.03244110916038801,130.43961309680884,0.5137261955247651,8.61112129477458,0.0
45,40,0.0001,10.0,0.009999999667000003,31.678516450111736,20.352911494201944,20.180612486138003,27,-1.3732827838578818,0.5463160874404616,0.2638595016987787,0.998994223274,2.65802201245e-05,8.964480100526,0.010006695977834502,342.2910016073576,0.6702780862451557,8.878682798054227,0.0
46,40,0.0001,10.0,0.019999999705000004,31.678516450111736,19.09509149138536,19.171581861824002,25,-1.2993901462968345,0.4408069387900877,0.27571896646879857,0.999498255151,2.3854084821999995e-05,8.592386988692,0.012127085965315502,293.4717475027822,0.6424565220151829,9.09628656572697,0.0
47,40,0.0001,10.0,0.049999999818999996,31.678516450111736,17.31009296150376,17.1535206132315,21,-1.122619777269004,0.3021105044021577,0.2835460098466961,0.999762768361,1.49258370081e-05,7.850194197873002,0.02390686295657,210.20946136264044,0.5869624433986305,9.317369340515079,0.0
48,40,0.0001,10.0,0.09999999963799999,31.678516450111736,15.696872110664051,15.639974676760502,17,-1.0396876358472644,0.2271199913019384,0.28043368802647994,0.9998642723200001,1.18071169519e-05,7.2732060134005,0.021788134804248002,159.33111295143337,0.543820785239157,9.461224059330238,0.0
49,40,0.0001,10.0,0.19999999964700002,31.678516450111736,14.483577368733629,14.6309440524465,16,-0.9991525099770534,0.19018907031641633,0.26910493284532494,0.9999265379410001,1.0613146425e-05,6.8835973798120005,0.046899550455925004,130.43961309680884,0.51468957780963,9.61105766937727,0.0
